# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.misses,1788582552770000000,1788582612887000000,608
MappedFileStorage.storages,1788582552770000000,1788582612887000000,15
FilePageCache.pageHits,1788582552770000000,1788582612887000000,579
MappedFileStorage.totalBytesMapped,1788582552770000000,1788582612887000000,258211840
FilePageCache.totalPageLoadsUs,1788582552770000000,1788582612887000000,635621
FilePageCache.capacityInBytes,1788582552770000000,1788582612887000000,629145600
FilePageCache.pageLoadsAboveSizeThreshold,1788582552770000000,1788582612887000000,104
StreamlinedBlobStorage.recordsDeleted,1788582552770000000,1788582612887000000,12
FilePageCache.WAL.entriesFlushedOnTruncate,1788582552770000000,1788582612887000000,2
FilePageCache.totalPageStoresUs,1788582552770000000,1788582612887000000,85420
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788582552770000000,1788582612887000000,9633429
FilePageCache.WAL.entriesFlushedOnForce,1788582552770000000,1788582612887000000,0
StorageLockContext.competingThreads.max,1788582552770000000,1788582612887000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788582552770000000,1788582612887000000,3919030
FilePageCache.WAL.flushesForcedByOverflow,1788582552770000000,1788582612887000000,0
DirectByteBufferAllocator.disposed,1788582552770000000,1788582612887000000,604
FilePageCache.maxRegisteredFiles,1788582552770000000,1788582612887000000,1796
FilePageCache.totalPageDisposalsUs,1788582552770000000,1788582612887000000,3620
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788582552770000000,1788582612887000000,3153920
FilePageCache.WAL.bytesQueued,1788582552770000000,1788582612887000000,8627464
FilePageCache.pageLoads,1788582552770000000,1788582612887000000,610
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1788582552770000000,1788582612887000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1788582552770000000,1788582612887000000,0
FilePageCache.pageFastCacheHits,1788582552770000000,1788582612887000000,21967
StreamlinedBlobStorage.recordsRelocated,1788582552770000000,1788582612887000000,0
FilePageCache.WAL.entriesFlushed,1788582552770000000,1788582612887000000,47
StorageLockContext.competingThreads.avg,1788582552770000000,1788582612887000000,0.0
FilePageCache.disposedBuffers,1788582552770000000,1788582612887000000,710
MappedFileStorage.totalTimeSpentOnMappingUs,1788582552770000000,1788582612887000000,19639
FilePageCache.maxCacheSizeInBytes,1788582552770000000,1788582612887000000,629153792
MappedFileStorage.totalPagesMapped,1788582552770000000,1788582612887000000,15
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788582552770000000,1788582612887000000,41967616
FilePageCache.uncachedFileAccess,1788582552770000000,1788582612887000000,1941
FilePageCache.WAL.entriesFlushedOnClose,1788582552770000000,1788582612887000000,0
workspaceModel.to.snapshot.ms,1788582552770000000,1788582612887000000,2
workspaceModel.workspaceFileIndexData.markDirty.ms,1788582552770000000,1788582612887000000,0
